b00,b01,b02,b03,b04,b05,b06,b07,b10,b11,b12,b13,b14,b15,b16,b17,b20,b21,b22,b23,b24,b25,b26,b27,hand_me,hand_enemy,board_me,board_enemy,solto,solfrom,solremove
2,1,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,2,2,0,1,2,0,0,1,1,5,6,"211600"
0,1,0,1,0,0,0,1,1,0,1,0,2,0,0,2,2,1,1,0,0,1,2,0,0,0,8,4,"101125"
0,0,0,1,0,2,2,1,2,0,1,0,2,2,1,0,1,2,1,2,1,0,2,0,1,0,7,8,"010000"
1,0,0,0,0,2,0,2,1,2,2,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,3,8,"002413"
0,1,2,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,3,4,"030500"
2,2,1,1,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,2,0,2,0,0,0,4,8,"020300"
0,0,2,0,2,2,1,1,1,0,0,1,0,1,1,0,1,2,0,2,2,0,0,0,0,0,7,6,"222324"
1,0,0,0,2,0,0,2,2,1,1,0,1,0,1,1,0,0,1,2,0,2,2,2,0,0,7,7,"000100"
1,1,1,2,0,0,2,0,2,2,0,1,1,1,0,0,2,0,2,0,0,1,0,0,0,0,7,6,"271700"
0,1,0,2,0,0,2,0,1,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,5,4,"252417"
0,1,1,0,0,0,2,2,0,0,2,1,0,0,1,2,1,2,1,1,0,1,0,1,0,0,9,5,"040521"
1,2,0,0,0,1,0,0,2,1,2,0,0,1,2,0,0,0,0,1,1,1,0,2,1,1,7,5,"160100"
2,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,1,1,0,2,0,0,2,0,0,0,5,5,"132307"
0,0,2,1,2,0,2,1,1,0,1,0,2,2,2,1,0,1,2,1,1,2,0,0,0,0,8,8,"152516"
0,1,1,0,2,0,2,2,0,0,0,2,0,2,2,0,2,1,0,2,0,2,0,1,0,0,4,9,"040500"
0,2,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,0,0,8,3,"051500"
0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,3,5,"100500"
1,1,0,0,0,0,2,2,0,2,1,0,2,0,1,0,0,0,0,0,1,2,2,2,0,0,5,7,"030221"
1,0,0,0,0,0,2,1,0,1,0,2,0,0,2,0,1,0,0,2,0,1,0,1,0,0,6,4,"071700"
1,0,1,0,1,2,0,1,2,1,1,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,9,4,"020125"
